Timestamp,Mean_PSD_dB,SNR_dB,PU_Present
1774707075.1475928,-33.55095291137695,7.193019866943359,0
1774707075.150111,-31.739097595214844,7.683193206787109,0
1774707075.1521199,-32.3595085144043,6.929718017578125,0
1774707075.1561208,-33.43460464477539,8.344375610351562,1
1774707075.15728,-32.79930114746094,7.114097595214844,0
1774707075.1639793,-32.65327072143555,8.460391998291016,1
1774707075.1679552,-29.95503044128418,8.691492080688477,1
1774707075.169586,-30.1882266998291,7.63859748840332,0
1774707075.188826,-30.03491973876953,8.145492553710938,1
1774707075.2208362,-32.92393493652344,8.511821746826172,1
1774707075.2529922,-30.56378746032715,9.018369674682617,1
1774707075.2853825,-29.982412338256836,7.942949295043945,0
1774707075.317927,-32.64091110229492,7.670398712158203,0
1774707075.3500197,-33.21149444580078,9.324798583984375,1
1774707075.3816946,-33.06528854370117,7.999172210693359,0
1774707075.4150262,-29.595436096191406,7.720184326171875,0
1774707075.4459345,-32.42994689941406,8.056388854980469,0
1774707075.4771998,-32.79335403442383,7.112087249755859,0
1774707075.5102572,-33.0273551940918,8.083919525146484,0
1774707075.542378,-33.14022445678711,8.365001678466797,1
1774707075.574525,-31.121442794799805,7.363309860229492,0
1774707075.6060202,-32.92823028564453,6.7310943603515625,0
1774707075.6385376,-32.56796646118164,8.00002670288086,0
1774707075.6700702,-32.31437301635742,8.322242736816406,1
1774707075.7025754,-32.262691497802734,8.57998275756836,1
1774707075.7345672,-30.42669677734375,8.687206268310547,1
1774707075.7659488,-30.156890869140625,8.24544906616211,1
1774707075.7974653,-32.43733215332031,7.751644134521484,0
1774707075.8296368,-32.16225814819336,7.661125183105469,0
1774707075.862371,-31.955957412719727,8.536314010620117,1
1774707075.894108,-29.582557678222656,9.043025970458984,1
1774707075.9270232,-30.331056594848633,8.418630599975586,1
1774707075.9584122,-29.847501754760742,7.653329849243164,0
1774707075.991017,-32.06643295288086,8.765922546386719,1
1774707076.0229225,-30.919477462768555,6.946233749389648,0
1774707076.0534601,-32.357513427734375,7.7587127685546875,0
1774707076.0861263,-32.3449821472168,8.270702362060547,1
1774707076.1166308,-33.10105895996094,7.407264709472656,0
1774707076.150894,-32.08135986328125,7.830513000488281,0
1774707076.186014,-30.764570236206055,6.939313888549805,0
1774707076.2131515,-32.75068664550781,6.506778717041016,0
1774707076.245655,-33.31870651245117,9.249618530273438,1
1774707076.2775638,-34.08052444458008,8.467266082763672,1
1774707076.3090613,-31.993446350097656,8.418750762939453,1
1774707076.3420603,-32.82052993774414,7.5209808349609375,0
1774707076.3738306,-32.79703903198242,8.82305908203125,1
1774707076.4061933,-29.979501724243164,10.502508163452148,1
1774707076.4379928,-30.403406143188477,7.896146774291992,0
1774707076.4700487,-32.85161209106445,9.785163879394531,1
1774707076.5027475,-32.87313461303711,8.472766876220703,1
